"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv72",39,57,60,60,39,57,60,60,39,57,60,60,39,57,60,60,39,57,60,60,39,57,60,60,39,57,60,60,39,57,60,60,39,57,60,60,39,57,60,60,39,57,60,60,39,57,60,60
"asv73",15,15,15,13,15,15,15,13,15,15,15,13,15,15,15,13,15,15,15,13,15,15,15,13,15,15,15,13,15,15,15,13,15,15,15,13,15,15,15,13,15,15,15,13,15,15,15,13
"asv74",14,14,14,20,14,14,14,20,14,14,14,20,14,14,14,20,14,14,14,20,14,14,14,20,14,14,14,20,14,14,14,20,14,14,14,20,14,14,14,20,14,14,14,20,14,14,14,20
"asv75",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"asv76",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"asv77",26,30,30,30,26,30,30,30,26,30,30,30,26,30,30,30,26,30,30,30,26,30,30,30,26,30,30,30,26,30,30,30,26,30,30,30,26,30,30,30,26,30,30,30,26,30,30,30
"asv78",13,13,13,13,13,13,13,15,13,20,13,13,20,13,13,15,13,13,13,15,13,13,13,13,20,20,13,13,13,13,13,15,13,13,13,13,13,20,13,13,13,13,13,15,13,13,13,13
"asv79",20,19,23,23,20,19,23,23,20,19,23,23,20,19,23,23,20,19,23,23,20,19,23,23,20,19,23,23,20,19,23,23,20,19,23,23,20,19,23,23,20,19,23,23,20,19,23,23
"asv80",12,12,10,15,12,12,10,15,12,12,10,10,12,12,10,15,12,12,10,15,12,12,10,15,12,12,10,10,12,12,10,15,12,12,10,10,12,12,10,15,12,12,10,15,12,12,10,10
"asv81",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"asv82",17,17,16,16,17,17,16,16,17,17,16,16,17,17,16,16,17,17,16,16,17,17,16,16,17,17,16,16,17,17,16,16,17,17,16,16,17,17,16,16,17,17,16,16,17,17,16,16
"asv83",42,39,42,57,42,39,42,57,42,39,42,57,42,39,42,57,42,39,42,57,42,39,42,57,42,39,42,57,42,39,42,57,42,39,42,57,42,39,42,57,42,39,42,57,42,39,42,57
"asv84",12,12,14,14,12,12,14,14,12,12,14,14,12,12,14,14,12,12,14,14,12,12,14,14,12,12,14,14,12,12,14,14,12,12,14,14,12,12,14,14,12,12,14,14,12,12,14,14
"asv85",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"asv86",11,11,12,12,11,11,12,12,11,11,12,12,11,11,12,12,11,11,12,12,11,11,12,12,11,11,12,12,11,11,12,12,11,11,12,12,11,11,12,12,11,11,12,12,11,11,12,12
"asv87",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"asv88",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"asv89",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"asv90",9,11,17,8,9,11,17,15,9,11,17,8,9,11,17,8,9,11,17,8,9,11,17,8,9,11,17,8,9,11,17,8,9,11,17,8,9,11,17,8,9,11,17,8,9,11,17,8
"asv91",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"asv92",9,3,0,0,9,3,0,0,0,3,0,0,0,3,0,0,9,3,0,0,0,3,0,0,9,0,0,0,9,3,0,0,9,0,0,0,0,0,0,0,9,0,0,0,9,3,0,0
"asv93",9,9,7,7,9,9,7,7,9,9,7,7,9,9,7,7,9,9,7,7,9,9,7,7,9,9,7,7,9,9,7,7,9,9,7,7,9,9,7,7,9,9,7,7,9,9,7,7
"asv94",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"asv95",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"asv96",9,9,9,11,9,9,9,11,9,9,9,11,9,9,9,11,9,9,9,11,9,9,9,11,9,9,9,11,9,9,9,11,9,9,9,11,9,9,9,11,9,9,9,11,9,9,9,11
"asv97",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"asv98",8,7,5,5,8,7,5,5,8,7,5,5,8,7,5,5,8,7,5,5,8,7,5,5,8,7,5,5,8,7,5,5,8,7,5,5,8,7,5,5,8,7,5,5,8,7,5,5
"asv99",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"asv100",8,7,7,6,8,7,7,6,8,7,7,6,8,7,7,6,8,7,7,6,8,7,7,6,8,7,7,6,8,7,7,6,8,7,7,6,8,7,7,6,8,7,7,6,8,7,7,6
"asv101",7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0
"asv102",7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6,7,7,7,6
"asv103",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv104",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv105",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv106",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv107",7,7,7,7,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7,7,7,7,0,0,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7
"asv108",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv109",6,6,13,19,6,6,13,12,6,6,13,24,6,55,13,19,6,55,13,19,6,6,13,19,6,6,62,24,6,6,13,19,6,64,13,24,6,6,13,19,6,6,13,19,6,6,13,73
"asv110",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv111",6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,5
"asv112",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv113",17,17,17,19,17,17,17,19,17,17,17,19,17,17,17,19,17,17,17,19,17,17,17,19,17,17,17,19,17,17,17,19,17,17,17,19,17,17,17,19,17,17,17,19,17,17,17,19
"asv114",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv115",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
