"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track109","140892","49117","48167","47940","43610","35348","159","84","Truncq_11","rmphix_TRUE","MaxEE_3-3","TruncLen_250-230"
"track110","140892","2767","2679","2683","2447","2336","47","10","Truncq_15","rmphix_TRUE","MaxEE_3-3","TruncLen_250-230"
"track111","140892","125536","124385","124129","6138","6073","12","90","Truncq_2","rmphix_TRUE","MaxEE_3-3","TruncLen_230-210"
"track112","140892","125536","124385","124129","6138","6073","12","90","Truncq_4","rmphix_TRUE","MaxEE_3-3","TruncLen_230-210"
"track113","140892","125536","124385","124129","6138","6073","11","91","Truncq_7","rmphix_TRUE","MaxEE_3-3","TruncLen_230-210"
"track114","140892","125536","124385","124129","6138","6073","11","91","Truncq_11","rmphix_TRUE","MaxEE_3-3","TruncLen_230-210"
"track115","140892","13656","13429","13523","832","832","2","26","Truncq_15","rmphix_TRUE","MaxEE_3-3","TruncLen_230-210"
"track116","140892","129979","128863","128439","6428","6360","3","97","Truncq_2","rmphix_TRUE","MaxEE_3-3","TruncLen_210-190"
"track117","140892","129979","128863","128439","6428","6360","3","97","Truncq_4","rmphix_TRUE","MaxEE_3-3","TruncLen_210-190"
"track118","140892","129979","128863","128439","6428","6360","3","97","Truncq_7","rmphix_TRUE","MaxEE_3-3","TruncLen_210-190"
"track119","140892","129979","128863","128439","6428","6360","3","97","Truncq_11","rmphix_TRUE","MaxEE_3-3","TruncLen_210-190"
"track120","140892","24401","24112","24164","1803","1803","2","34","Truncq_15","rmphix_TRUE","MaxEE_3-3","TruncLen_210-190"
"track121","140892","135998","134621","133879","5856","5784","4","80","Truncq_2","rmphix_TRUE","MaxEE_3-3","TruncLen_180-160"
"track122","140892","135998","134621","133879","5856","5784","5","79","Truncq_4","rmphix_TRUE","MaxEE_3-3","TruncLen_180-160"
"track123","140892","135998","134621","133879","5856","5784","5","79","Truncq_7","rmphix_TRUE","MaxEE_3-3","TruncLen_180-160"
"track124","140892","135998","134621","133879","5856","5784","5","79","Truncq_11","rmphix_TRUE","MaxEE_3-3","TruncLen_180-160"
"track125","140892","39171","38850","38878","2489","2489","0","32","Truncq_15","rmphix_TRUE","MaxEE_3-3","TruncLen_180-160"
"track126","140892","116381","115112","114074","86762","70737","123","84","Truncq_2","rmphix_FALSE","MaxEE_3-3","TruncLen_0-0"
"track127","140892","116381","115112","114074","86762","70737","123","84","Truncq_4","rmphix_FALSE","MaxEE_3-3","TruncLen_0-0"
"track128","140892","116381","115112","114074","86762","70737","123","84","Truncq_7","rmphix_FALSE","MaxEE_3-3","TruncLen_0-0"
"track129","140892","116381","115112","114074","86762","70737","123","84","Truncq_11","rmphix_FALSE","MaxEE_3-3","TruncLen_0-0"
"track130","140892","129060","127879","128940","4324","4324","3","19","Truncq_15","rmphix_FALSE","MaxEE_3-3","TruncLen_0-0"
"track131","140892","49117","48167","47940","43610","35348","160","83","Truncq_2","rmphix_FALSE","MaxEE_3-3","TruncLen_250-230"
"track132","140892","49117","48167","47940","43610","35348","159","84","Truncq_4","rmphix_FALSE","MaxEE_3-3","TruncLen_250-230"
"track133","140892","49117","48167","47940","43610","35348","160","83","Truncq_7","rmphix_FALSE","MaxEE_3-3","TruncLen_250-230"
"track134","140892","49117","48167","47940","43610","35348","160","83","Truncq_11","rmphix_FALSE","MaxEE_3-3","TruncLen_250-230"
"track135","140892","2767","2679","2683","2447","2336","47","10","Truncq_15","rmphix_FALSE","MaxEE_3-3","TruncLen_250-230"
