trackID,filtered,denoisedF,denoisedR,merged,nonchim,assignes,badassignes,PRM_TRUNCQ,PRM_RMPHIX,PRM_MAXEE,Trunclen
track207,111102,110783,110225,109515,100801,27,37,Truncq_4,rmphix_TRUE,MaxEE_3-5,TruncLen_250-230
track208,111102,110783,110225,109515,100801,27,37,Truncq_7,rmphix_TRUE,MaxEE_3-5,TruncLen_250-230
track209,111102,110783,110225,109515,100801,27,37,Truncq_11,rmphix_TRUE,MaxEE_3-5,TruncLen_250-230
track210,11268,11239,11235,11208,10007,6,4,Truncq_15,rmphix_TRUE,MaxEE_3-5,TruncLen_250-230
track211,114617,114249,113373,2006,2006,7,41,Truncq_2,rmphix_TRUE,MaxEE_3-5,TruncLen_230-210
track212,114617,114249,113373,2006,2006,8,40,Truncq_4,rmphix_TRUE,MaxEE_3-5,TruncLen_230-210
track213,114617,114249,113373,2006,2006,8,40,Truncq_7,rmphix_TRUE,MaxEE_3-5,TruncLen_230-210
track214,114617,114249,113373,2006,2006,8,40,Truncq_11,rmphix_TRUE,MaxEE_3-5,TruncLen_230-210
track215,16365,16296,16307,322,322,0,10,Truncq_15,rmphix_TRUE,MaxEE_3-5,TruncLen_230-210
track216,117008,116619,115359,2170,2161,8,46,Truncq_2,rmphix_TRUE,MaxEE_3-5,TruncLen_210-190
track217,117008,116619,115359,2170,2161,8,46,Truncq_4,rmphix_TRUE,MaxEE_3-5,TruncLen_210-190
track218,117008,116619,115359,2170,2161,9,45,Truncq_7,rmphix_TRUE,MaxEE_3-5,TruncLen_210-190
track219,117008,116619,115359,2170,2161,9,45,Truncq_11,rmphix_TRUE,MaxEE_3-5,TruncLen_210-190
track220,25380,25279,25296,695,692,3,16,Truncq_15,rmphix_TRUE,MaxEE_3-5,TruncLen_210-190
track221,119977,119350,118079,2096,2092,5,45,Truncq_2,rmphix_TRUE,MaxEE_3-5,TruncLen_180-160
track222,119977,119350,118079,2096,2092,5,45,Truncq_4,rmphix_TRUE,MaxEE_3-5,TruncLen_180-160
track223,119977,119350,118079,2096,2092,5,45,Truncq_7,rmphix_TRUE,MaxEE_3-5,TruncLen_180-160
track224,119977,119350,118079,2096,2092,5,45,Truncq_11,rmphix_TRUE,MaxEE_3-5,TruncLen_180-160
track225,39338,39235,39223,996,994,2,27,Truncq_15,rmphix_TRUE,MaxEE_3-5,TruncLen_180-160
track226,111608,111212,110750,107984,99581,19,56,Truncq_2,rmphix_FALSE,MaxEE_3-5,TruncLen_0-0
track227,111608,111212,110750,107984,99581,19,56,Truncq_4,rmphix_FALSE,MaxEE_3-5,TruncLen_0-0
track228,111608,111212,110750,107984,99581,20,55,Truncq_7,rmphix_FALSE,MaxEE_3-5,TruncLen_0-0
track229,111608,111212,110750,107984,99581,19,56,Truncq_11,rmphix_FALSE,MaxEE_3-5,TruncLen_0-0
track230,113927,113479,113862,1782,1782,2,16,Truncq_15,rmphix_FALSE,MaxEE_3-5,TruncLen_0-0
